,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
285,challapata,30,BO,1574010202,38,-18.9,-66.78,51.31,8.81
286,pangnirtung,33,CA,1574009943,68,66.15,-65.72,6.19,3.33
287,matagami,0,NG,1574010203,42,9.67,8.4,75.25,3.27
288,pirovskoye,100,RU,1574010204,93,57.63,92.27,11.5,7.74
289,bruggen,90,AT,1574010205,93,46.74,13.19,54.0,1.12
290,kodinsk,100,RU,1574010205,84,58.6,99.18,0.93,9.51
291,vestmannaeyjar,20,IS,1574010206,71,63.44,-20.27,35.6,8.05
292,novikovo,45,RU,1574010206,90,51.15,37.89,34.29,4.65
293,cidreira,0,BR,1574009791,65,-30.17,-50.22,69.53,9.17
294,bilma,26,NE,1574010207,20,18.69,12.92,78.39,3.24
295,moanda,94,CD,1574010208,85,-5.93,12.38,78.94,5.26
296,pangai,74,TO,1574009790,70,-19.8,-174.35,75.56,4.52
297,port blair,2,IN,1574009955,69,11.67,92.75,82.33,5.99
298,barra do garcas,75,BR,1574009909,62,-15.89,-52.26,84.2,9.17
299,mangan,63,IN,1574010210,80,27.5,88.54,49.32,1.59
300,walvis bay,37,NA,1574010211,72,-22.95,14.51,64.4,6.93
301,vardo,90,US,1574010211,55,39.62,-77.74,42.01,3.36
302,arkhara,100,RU,1574010212,87,49.42,130.09,12.09,6.64
303,erenhot,0,CN,1574010213,35,43.65,111.97,7.88,23.78
304,porto tolle,40,IT,1574010213,87,44.95,12.32,57.2,1.12
305,yakima,75,US,1574009970,100,46.6,-120.51,41.0,1.9
306,chapadinha,67,BR,1574010214,42,-3.74,-43.35,93.61,5.84
307,pelham,90,US,1574010214,59,42.73,-71.32,37.0,5.82
308,vestmanna,99,FO,1574009846,72,62.16,-7.17,33.8,17.22
309,beberibe,40,BR,1574009976,58,-4.18,-38.13,87.8,14.99
310,atambua,55,ID,1574010216,80,-9.11,124.89,74.26,2.21
311,tomatlan,100,MX,1574010216,66,19.93,-105.25,77.4,0.6
312,nome,1,US,1574009868,47,30.04,-94.42,61.0,3.36
313,yar-sale,100,RU,1574010217,100,66.83,70.83,-17.16,10.76
314,gobabis,79,NA,1574010217,16,-22.45,18.97,91.4,3.36
315,lagoa,20,PT,1574009779,82,37.14,-8.45,64.99,16.11
316,dubuque,40,US,1574010218,100,42.5,-90.66,37.0,3.36
317,bollnas,89,SE,1574010219,96,61.35,16.39,32.59,2.39
318,srednekolymsk,99,RU,1574009804,97,67.46,153.71,-1.88,5.03
319,los llanos de aridane,75,ES,1574009906,64,28.66,-17.92,68.0,10.29
320,brae,84,GB,1574010220,80,60.4,-1.35,41.0,4.7
321,santa,100,PH,1574010220,87,17.49,120.43,72.75,3.24
322,komsomolskiy,4,RU,1574010221,87,67.55,63.78,-9.76,7.83
323,impfondo,95,CD,1574010221,94,1.62,18.06,73.83,0.89
324,pekan,20,MY,1574010222,94,3.49,103.39,75.2,2.24
325,taoudenni,63,ML,1574010222,19,22.68,-3.98,68.25,13.31
326,abha,40,SA,1574009796,67,18.22,42.5,62.6,1.28
327,guaruja,40,BR,1574010223,60,-23.99,-46.26,75.0,16.11
328,inta,91,RU,1574010223,91,66.04,60.13,10.63,10.47
329,silver city,75,US,1574010223,24,32.77,-108.28,62.01,4.7
330,awbari,0,LY,1574010224,24,26.59,12.77,65.43,12.41
331,nanakuli,1,US,1574010225,94,21.39,-158.15,75.99,4.7
332,berlevag,75,NO,1574010225,92,70.86,29.09,17.6,13.87
333,lompoc,1,US,1574009836,47,34.64,-120.46,62.6,2.62
334,mareeba,62,AU,1574009984,88,-16.99,145.42,73.0,1.54
335,fort saint james,12,CA,1574010226,96,54.43,-124.25,39.4,5.86
336,inhambane,1,MZ,1574010227,80,-23.87,35.38,76.24,10.85
337,alcantara,100,PH,1574010227,89,9.97,123.41,75.22,5.39
338,chatham,1,CA,1574010015,55,42.41,-82.19,39.0,8.05
339,mehriz,75,IR,1574010228,52,31.58,54.44,46.4,4.7
340,minab,0,IR,1574010228,60,27.15,57.07,68.0,4.7
341,cuiluan,100,CN,1574010229,91,47.72,128.65,14.11,4.61
342,tabuk,100,PH,1574010229,86,17.41,121.44,73.96,9.78
343,qaqortoq,100,GL,1574009829,51,60.72,-46.03,37.4,28.86
344,alice springs,0,AU,1574010041,19,-23.7,133.88,66.2,2.24
345,kongwa,86,TZ,1574010231,66,-6.19,36.41,75.9,10.56
346,isla vista,1,US,1574010039,47,34.41,-119.86,75.99,3.62
347,outram,75,MY,1574010232,83,1.28,103.84,82.4,2.24
348,cullinan,24,ZA,1574010233,26,-25.67,28.53,84.2,13.87
349,vanavara,0,RU,1574009890,94,60.35,102.28,-18.98,6.29
350,fairbanks,90,US,1574009702,91,64.84,-147.72,5.0,2.04
351,tshane,27,BW,1574010234,16,-24.02,21.87,85.42,11.18
352,college,90,US,1574010235,91,64.86,-147.8,5.0,1.95
353,cayenne,52,GF,1574009933,62,4.94,-52.33,89.6,12.75
354,deer lake,40,CA,1574010236,63,49.18,-57.43,28.4,12.75
355,ucluelet,75,CA,1574009969,93,48.94,-125.55,53.6,17.22
356,vuktyl,91,RU,1574010237,96,63.86,57.31,16.61,3.51
357,krasnoarmeyskoye,52,RU,1574010237,90,51.2,45.92,32.0,5.28
358,feni,0,BD,1574010169,88,23.02,91.41,67.73,2.55
359,astana,99,KZ,1574010238,63,51.13,71.43,28.4,17.9
360,deniliquin,90,AU,1574010239,63,-35.53,144.96,50.0,2.01
361,toledo,90,ES,1574010043,93,39.86,-4.02,46.4,18.34
362,ceres,15,BR,1574010018,51,-15.31,-49.6,86.59,6.11
363,bacolod,100,PH,1574010240,91,10.68,122.95,73.58,4.85
364,kununurra,22,AU,1574009819,52,-15.77,128.74,69.8,1.12
365,henties bay,6,NA,1574010241,84,-22.12,14.28,62.01,1.99
366,porterville,0,US,1574010241,76,36.07,-119.02,59.0,2.51
367,roebourne,0,AU,1574010241,39,-20.77,117.15,77.25,5.61
368,axim,72,GH,1574009982,81,4.87,-2.24,79.29,5.21
369,te anau,79,NZ,1574009785,81,-45.41,167.72,40.12,5.5
370,havre-saint-pierre,1,CA,1574009832,62,50.23,-63.6,23.0,13.87
371,troitskoye,100,RU,1574010243,90,52.98,84.68,20.61,11.21
372,garowe,56,SO,1574009852,57,8.41,48.48,80.26,17.58
373,ouesso,98,CG,1574010244,95,1.61,16.05,72.63,2.77
374,haines junction,100,CA,1574010244,98,60.75,-137.51,28.02,1.95
375,vila velha,40,BR,1574010245,58,-3.71,-38.6,87.8,14.99
376,iquique,31,CL,1574010245,56,-20.22,-70.14,71.6,16.11
377,guerrero negro,0,MX,1574009810,34,27.97,-114.04,80.91,7.83
378,atoyac,75,MX,1574010246,69,18.92,-96.78,77.0,4.85
379,los andes,34,CL,1574010247,26,-32.83,-70.6,84.0,10.29
380,grand gaube,40,MU,1574010247,83,-20.01,57.66,77.0,12.75
381,shipunovo,100,RU,1574010248,74,52.22,82.26,21.47,27.94
382,oranjestad,40,AW,1574010242,74,12.52,-70.03,84.2,10.29
383,tiksi,90,RU,1574009919,95,71.64,128.87,-1.05,5.23
384,ler,75,NO,1574010249,74,63.2,10.3,39.2,6.93
385,isangel,100,VU,1574009806,85,-19.55,169.27,73.74,13.65
386,minot,90,US,1574010057,86,48.23,-101.3,34.0,4.7
387,hellvik,2,NO,1574010250,93,59.92,5.78,39.2,4.7
388,shimoda,100,JP,1574009823,62,34.7,138.93,55.99,18.84
389,pine bluff,75,US,1574010251,61,34.23,-92.0,52.0,6.93
390,cobh,75,IE,1574010251,81,51.85,-8.29,44.01,14.99
391,takoradi,34,GH,1574009914,78,4.89,-1.75,82.33,9.1
392,oktyabrskiy,100,RU,1574010252,93,55.61,37.97,43.0,4.47
393,inongo,94,CD,1574010253,88,-1.93,18.29,74.97,1.97
394,santa maria,75,BR,1574010253,73,-16.02,-48.01,75.2,13.87
395,kruisfontein,30,ZA,1574009928,76,-34.0,24.73,55.81,17.72
396,three hills,40,CA,1574010254,80,51.7,-113.27,53.01,4.7
397,edd,0,ER,1574010254,42,13.93,41.69,85.01,10.67
398,mapiripan,62,CO,1574010255,57,2.89,-72.13,88.16,3.83
399,balikpapan,77,ID,1574010256,94,-1.24,116.86,74.28,1.01
400,antofagasta,36,CL,1574010256,60,-23.65,-70.4,68.0,14.99
401,chakradharpur,0,IN,1574010256,64,22.67,85.62,63.34,1.86
402,saint-francois,90,FR,1574010257,81,46.42,3.91,42.8,6.93
403,lorengau,100,PG,1574009884,75,-2.02,147.27,82.51,10.11
404,naliya,1,IN,1574010258,59,23.26,68.83,77.18,9.66
405,luba,100,PH,1574010259,87,17.32,120.7,72.75,3.24
406,valley city,90,US,1574010259,69,46.92,-98.0,33.8,11.41
407,sergeyevka,95,KZ,1574010259,97,53.88,67.42,28.99,9.64
408,mana,55,NG,1574009963,17,13.03,5.27,87.8,6.44
409,olga,1,US,1574010260,33,34.11,-118.17,82.99,1.83
410,nantucket,90,US,1574010261,56,41.28,-70.1,45.0,14.99
411,constitucion,90,MX,1574009776,82,23.99,-104.67,57.0,4.7
412,porto novo,75,BR,1574010262,50,-23.68,-45.44,78.8,3.36
413,camacha,20,PT,1574010263,63,33.08,-16.33,68.0,11.41
414,katherine,8,AU,1574009851,48,-14.47,132.26,87.8,13.87
415,zaidpur,0,IN,1574010170,77,26.83,81.33,66.2,4.7
416,charters towers,66,AU,1574010265,94,-20.07,146.27,66.76,6.15
417,khorixas,4,NA,1574010265,45,-20.37,14.96,67.44,11.39
418,terenos,25,BR,1574010266,33,-20.44,-54.87,89.6,10.29
419,port keats,5,AU,1574010267,78,-14.25,129.55,80.87,5.48
420,bambanglipuro,41,ID,1574010267,94,-7.95,110.28,74.3,2.39
421,nivala,100,FI,1574010268,96,63.93,24.96,30.99,1.01
422,krasnozerskoye,100,RU,1574010268,95,53.98,79.24,24.85,11.72
423,diego de almagro,3,CL,1574009954,22,-26.39,-70.05,82.49,14.9
424,lumphat,15,KH,1574010269,94,13.5,106.97,71.08,2.8
425,jerome,1,US,1574009983,20,34.75,-112.11,63.0,10.29
426,victor harbor,63,AU,1574010270,76,-35.55,138.62,53.6,4.7
427,port lavaca,1,US,1574010272,77,28.61,-96.63,66.99,4.7
428,marystown,0,CA,1574010272,2,47.17,-55.16,37.0,11.01
429,daru,99,PG,1574010273,90,-9.07,143.21,75.74,4.43
430,pearl,1,US,1574010273,47,32.27,-90.13,59.0,3.67
431,plettenberg bay,57,ZA,1574010274,76,-34.05,23.37,58.39,11.54
432,faya,40,SA,1574009859,67,18.39,42.45,62.6,6.91
433,maniitsoq,86,GL,1574010275,47,65.42,-52.9,29.21,10.92
434,senneterre,75,CA,1574009856,61,48.39,-77.24,17.6,11.41
435,tezu,98,IN,1574010276,93,27.93,96.16,64.33,3.04
436,songjianghe,100,CN,1574010277,94,42.18,127.48,21.92,14.29
437,datia,0,IN,1574010278,50,25.66,78.46,70.52,6.58
438,nkan,18,CM,1574010278,97,2.95,11.22,70.23,2.62
439,vostok,91,RU,1574009803,71,46.45,135.83,17.06,4.99
440,cam ranh,75,VN,1574010279,88,11.92,109.15,80.6,8.05
441,angoram,99,PG,1574010279,99,-4.06,144.07,73.49,2.15
442,sydney mines,75,CA,1574010280,55,46.24,-60.22,39.0,11.41
443,muroto,53,JP,1574009823,81,33.37,134.14,56.28,2.44
444,tshikapa,74,CD,1574010280,94,-6.42,20.79,72.73,3.04
445,flinders,90,AU,1574010281,82,-34.58,150.85,62.01,5.82
446,san policarpo,100,PH,1574010282,87,12.18,125.51,77.36,5.53
447,agadir,0,MA,1574010282,26,30.42,-9.58,69.8,17.22
448,auki,100,NG,1574010283,19,12.18,6.51,84.65,6.44
449,yuli,88,CN,1574010283,93,24.82,106.77,57.25,4.88
450,anloga,20,GH,1574010283,74,5.79,0.9,87.8,8.05
451,bambous virieux,40,MU,1574009818,83,-20.34,57.76,77.0,12.75
452,dargaville,72,NZ,1574010284,91,-35.94,173.86,60.76,6.51
453,mount isa,8,AU,1574010285,12,-20.73,139.49,80.6,10.29
454,port hedland,0,AU,1574010285,88,-20.31,118.58,75.2,2.24
455,roald,75,NO,1574009989,70,62.58,6.12,42.8,8.05
456,tuatapere,57,NZ,1574009989,91,-46.13,167.69,44.01,8.01
457,merritt island,90,US,1574010085,82,28.54,-80.67,57.2,13.87
458,ranipur,0,IN,1574010287,52,25.25,79.06,69.46,5.66
459,hobyo,85,SO,1574010288,75,5.35,48.53,81.25,18.88
460,aykhal,90,RU,1574010289,83,65.95,111.51,-9.4,6.42
461,iracoubo,41,GF,1574010289,77,5.48,-53.21,82.45,14.92
462,opuwo,100,NA,1574009847,19,-18.06,13.84,76.53,13.71
463,ballyshannon,75,IE,1574010290,70,54.5,-8.19,46.4,10.29
464,constantine,40,DZ,1574010291,57,36.36,6.61,48.2,9.17
465,phan thiet,56,VN,1574010291,92,10.93,108.1,72.34,1.74
466,iranshahr,0,IR,1574010292,20,27.21,60.69,64.4,4.7
467,port moresby,91,PG,1574010292,84,-9.47,147.16,79.38,15.32
468,tura,0,RU,1574010137,100,64.27,100.22,-33.97,0.51
469,broken hill,0,AU,1574009932,29,-31.97,141.45,60.8,5.82
470,marovoay,20,MG,1574010293,79,-16.11,46.64,84.2,11.41
471,katsuura,75,JP,1574009870,81,33.93,134.5,53.6,13.87
472,benguela,53,AO,1574010294,78,-12.58,13.4,76.77,5.91
473,aklavik,90,CA,1574009833,76,68.22,-135.01,-7.6,3.36
474,buala,100,SB,1574010296,78,-8.15,159.59,80.53,3.6
475,saint paul,90,US,1574010020,71,44.95,-93.1,39.2,10.29
476,sopelana,75,ES,1574010296,87,43.38,-2.98,55.0,4.7
477,itarema,16,BR,1574010297,52,-2.92,-39.92,87.71,15.08
478,umm kaddadah,24,SD,1574010297,14,13.6,26.69,82.44,8.19
479,calatrava,90,PH,1574010297,78,10.6,123.48,82.4,3.36
480,stuhr,75,DE,1574010299,86,53.03,8.75,41.0,8.05
481,saint-pierre,100,FR,1574009975,93,48.95,4.24,39.2,5.82
482,juneau,90,US,1574009880,87,58.3,-134.42,48.2,12.75
483,gusau,100,NG,1574010300,19,12.17,6.66,84.65,6.44
484,sambava,99,MG,1574010301,95,-14.27,50.17,74.59,1.01
485,vianopolis,62,BR,1574010301,55,-16.74,-48.52,82.36,3.58
486,rossland,100,CA,1574010302,84,49.08,-117.8,37.99,2.26
487,pandan niog,62,PH,1574010302,67,6.23,120.56,82.83,1.12
488,benoy,0,RU,1574010303,86,43.06,46.02,39.2,4.47
489,santa cruz,15,BR,1574009845,36,-6.22,-36.02,91.18,9.51
490,acapulco,75,MX,1574009905,74,16.86,-99.88,80.6,4.7
491,neuquen,83,AR,1574010304,22,-38.95,-68.06,77.0,11.41
492,rosario do sul,0,BR,1574010304,39,-30.26,-54.91,82.69,7.76
493,caldwell,1,US,1574010305,39,43.67,-116.69,46.0,3.2
494,hualmay,1,PE,1574010305,57,-11.1,-77.61,74.08,10.56
495,guiglo,100,CI,1574010306,65,6.55,-7.5,81.95,1.34
496,santa fe,0,AR,1574010306,30,-31.62,-60.7,93.0,3.0
497,alta,92,NO,1574010307,79,69.97,23.27,21.99,23.04
498,habiganj,0,BD,1574010307,86,24.38,91.42,69.28,3.76
499,milkovo,20,BG,1574010308,87,41.53,24.68,60.01,4.7
500,montero,40,BO,1574010308,41,-17.34,-63.26,93.2,5.82
501,escanaba,90,US,1574010231,86,45.75,-87.06,39.2,11.41
502,le port,40,FR,1574010309,70,42.87,1.37,48.0,8.05
503,belaya gora,100,RU,1574010309,98,68.54,146.19,-4.38,3.04
504,xining,0,CN,1574010310,59,36.62,101.77,20.26,2.42
505,sidlaghatta,8,IN,1574010310,94,13.39,77.86,73.4,4.7
506,altamira,100,BR,1574010310,89,-3.2,-52.21,79.12,2.15
507,sungaipenuh,57,ID,1574010311,89,-2.08,101.38,61.14,1.57
508,kitimat,75,CA,1574010312,93,54.02,-128.69,50.0,21.92
509,yinchuan,0,CN,1574010312,9,38.48,106.21,24.01,4.0
510,kwidzyn,89,PL,1574010312,89,53.73,18.93,48.0,11.32
511,toamasina,40,MG,1574010313,88,-18.17,49.38,80.6,9.17
512,ballina,20,IE,1574010313,80,54.11,-9.15,46.4,4.7
513,san quintin,100,PH,1574009861,87,17.54,120.52,72.75,3.24
514,trincomalee,12,LK,1574010315,91,8.58,81.23,75.52,0.45
515,rio brilhante,13,BR,1574010315,25,-21.8,-54.54,94.78,7.34
516,margate,100,AU,1574010316,53,-43.03,147.26,51.8,19.46
517,tikhvin,100,RU,1574010316,94,59.64,33.53,42.01,5.17
518,bosaso,29,SO,1574010317,79,11.28,49.18,80.26,22.12
519,linxia,0,CN,1574010317,53,35.6,103.21,22.93,1.45
520,klaksvik,92,FO,1574010318,63,62.23,-6.59,33.8,17.22
521,saint-andre-les-vergers,100,FR,1574010318,100,48.29,4.05,39.2,6.93
522,bataipora,0,BR,1574010318,26,-22.3,-53.27,96.15,4.25
523,santa luzia,75,BR,1574010319,83,-19.77,-43.85,78.8,13.87
524,cabo san lucas,75,MX,1574009744,94,22.89,-109.91,78.01,4.7
525,mindelo,40,PT,1574010320,81,41.31,-8.72,57.0,12.75
526,camapua,6,BR,1574010320,26,-19.53,-54.04,92.59,4.12
527,ulaangom,100,MN,1574010321,74,49.98,92.07,0.46,4.14
528,mbumi,97,TZ,1574010321,88,-7.91,39.21,77.14,3.71
529,butembo,100,CD,1574010322,94,0.12,29.29,62.4,4.32
530,toora-khem,100,RU,1574010322,90,52.47,96.11,-5.28,1.99
531,ormara,59,PK,1574010323,50,25.21,64.64,79.56,5.97
532,kimbe,99,PG,1574010324,92,-5.56,150.15,73.96,1.28
533,snezhnogorsk,40,RU,1574010324,84,69.19,33.23,1.4,4.47
534,ust-nera,100,RU,1574010324,95,64.57,143.24,-10.79,4.83
535,dom pedrito,0,BR,1574010189,45,-30.98,-54.67,81.75,4.97
536,otane,100,NZ,1574010325,79,-39.89,176.62,62.01,1.99
537,gigmoto,100,PH,1574010326,79,13.78,124.39,80.98,5.48
538,abu samrah,0,SY,1574009875,26,35.3,37.18,56.84,5.73
539,flin flon,90,CA,1574009811,100,54.77,-101.88,24.8,10.29
540,kalispell,90,US,1574010311,93,48.2,-114.32,43.0,6.8
541,menongue,0,AO,1574010328,41,-14.66,17.68,72.37,5.37
542,monterey,1,US,1574010328,42,36.6,-121.89,68.0,17.63
543,sinnamary,41,GF,1574009816,77,5.38,-52.96,82.45,14.92
544,half moon bay,20,US,1574010330,93,37.46,-122.43,66.2,6.89
545,aswan,23,EG,1574010330,25,24.09,32.9,77.0,5.82
546,wenling,1,CN,1574010331,79,28.38,121.38,71.01,17.56
547,richards bay,96,ZA,1574009783,80,-28.77,32.06,70.54,12.64
548,zemio,100,CF,1574009979,62,5.02,25.13,75.97,3.13
549,kabompo,87,ZM,1574010332,84,-13.6,24.21,69.44,6.58
550,barcelos,100,BR,1574010332,90,-0.97,-62.93,81.32,2.8
551,manjakandriana,75,MG,1574010333,69,-18.92,47.81,73.4,3.36
552,galle,67,GN,1574010334,65,10.08,-12.83,80.24,2.57
553,kaeo,6,NZ,1574010334,100,-35.1,173.78,64.0,20.8
554,skibbereen,75,IE,1574010335,81,51.55,-9.27,42.8,14.99
555,shibganj,0,BD,1574010335,62,25.01,89.36,72.57,2.19
556,aloleng,100,PH,1574010336,96,16.13,119.78,74.75,3.06
557,palembang,2,ID,1574010336,84,-2.99,104.76,75.72,1.74
558,vanimo,100,PG,1574010337,75,-2.67,141.3,81.79,2.46
559,nikki,48,BJ,1574010337,27,9.94,3.21,83.73,3.62
560,zaykovo,91,RU,1574010338,93,57.56,62.76,24.91,8.77
561,gillette,1,US,1574010338,56,44.29,-105.5,43.0,13.87
562,sabang,100,PH,1574010339,84,13.8,121.11,81.0,3.0
563,tutoia,20,BR,1574009896,62,-2.76,-42.27,87.8,16.11
564,bouza,16,NE,1574010339,16,14.42,6.04,88.39,3.67
565,yuksekova,0,TR,1574010340,54,37.57,44.29,30.2,4.7
566,nabire,100,ID,1574010340,97,-3.36,135.5,72.27,2.21
567,ancud,75,CL,1574009928,66,-41.87,-73.83,55.4,13.87
568,melita,37,CA,1574010341,91,49.27,-100.98,33.01,5.99
569,bubaque,99,GW,1574010342,71,11.28,-15.83,84.47,13.06
